Metagenomes,Number_of_sequencing_pairs,Number_of_QC_sequencing_pairs,NCBI Biosample,HBD01,HBD02,HBD03,HBD05,HBD06,HBD07,HBD08,HBD09,,Location,Project,Depth_(m),Depth_Id,Size_fractionnation_(um),Year,Month,Day,Latitude,Longitude,Chlorophyll Sensor s,Mean_Temperature,Mean_Salinity,Mean_Oxygen,Mean_Nitrates,NO2,PO4,NO2NO3,SI
ION_39_25M,169022446,159412842,SAMEA2620081,0,0,0,0,0,0,0,0,,Indian_Ocean_(North),TARA_Oceans,25.31,DCM,0.22-1.6,2010,3,18,18.57,66.49,0.09,26.80,36.30,193.00,-0.60,0.02,0.26,0.09,1.28
ION_41_05M,220252033,204303488,SAMEA2620194,0,0,2.775743707,0,0,0,0,0,,Indian_Ocean_(North),TARA_Oceans,5.49,SRF,0.1-0.22,2010,3,30,14.60,69.98,0.03,29.10,36.00,187.40,-1.30,0.00,0.14,0.09,1.47
ION_41_60M,231699645,208618571,SAMEA2620217,0,0,14.8215103,0,0,0,0,0,,Indian_Ocean_(North),TARA_Oceans,58.15,DCM,0.22-1.6,2010,3,30,14.56,70.01,0.09,27.10,36.50,148.30,-0.20,0.07,0.34,0.49,1.38
ION_42_05M,200861532,180677310,SAMEA2620230,0,0,0.228832952,0,0,0,0,0,,Indian_Ocean_(North),TARA_Oceans,5.42,SRF,0.22-1.6,2010,4,4,6.03,73.89,0.16,30.00,34.60,189.30,-1.50,0.00,0.08,0.03,2.21
ION_42_80M,215019897,192312083,SAMEA2620259,0,0,0,0,0,0,0,0,,Indian_Ocean_(North),TARA_Oceans,79.02,DCM,0.22-1.6,2010,4,4,6.00,73.90,0.21,27.70,35.10,132.80,0.60,0.15,0.34,1.39,3.20
ION_45_05M,195519241,185301437,SAMEA2620339,0,0,0,0,0,0,0,0,,Indian_Ocean_(North),TARA_Oceans,5.48,SRF,0.22-1.6,2010,4,13,0.00,71.64,0.22,30.50,35.10,185.20,2.60,0.02,1.94,28.64,15.14
ION_48_05M,249646209,226080809,SAMEA2620404,0,0,0,0,0,0,0,0,,Indian_Ocean_(North),TARA_Oceans,5.44,SRF,0.22-1.6,2010,4,19,-9.39,66.42,0.27,29.80,34.20,187.30,-2.20,0.01,0.08,0.06,2.12
IOS_52_05M,202283992,187291556,SAMEA2620542,0,0,0,0,0,0,0,0,,Indian_Ocean_(South),TARA_Oceans,5.54,SRF,0.22-1.6,2010,5,17,-16.96,53.99,0.25,27.90,34.60,191.70,NA,0.00,0.12,0.00,2.67
IOS_52_75M,194473583,180129647,SAMEA2620570,0,0,0.070938215,0,0,0,0,0,,Indian_Ocean_(South),TARA_Oceans,79.02,DCM,0.22-1.6,2010,5,17,-16.96,54.01,0.42,24.90,34.90,192.60,0.20,0.03,0.18,0.47,3.22
IOS_56_05M,162387844,155153486,SAMEA2620651,0,0,0,0,0,0,0,0,,Indian_Ocean_(South),TARA_Oceans,5.46,SRF,0.22-3,2010,6,26,-15.34,43.29,1.55,27.30,35.00,193.10,NA,NA,NA,NA,NA
IOS_57_05M,168192870,159888236,SAMEA2620672,0,0,0,0,0,0,0,0,,Indian_Ocean_(South),TARA_Oceans,5.56,SRF,0.22-3,2010,6,27,-17.02,42.74,0.20,27.00,35.10,190.10,NA,0.02,0.00,0.00,2.81
IOS_58_66M,168855931,157754314,SAMEA2620734,0,0,0,0,0,0,0,0,,Indian_Ocean_(South),TARA_Oceans,67.07,DCM,0.22-3,2010,6,29,-17.32,42.29,0.42,25.30,35.20,185.00,0.80,0.03,0.00,0.06,2.51
IOS_62_05M,145714747,140649515,SAMEA2620756,0,0,0,0,0,0,0,0,,Indian_Ocean_(South),TARA_Oceans,5.43,SRF,0.22-3,2010,7,2,-21.38,39.56,0.32,25.10,35.30,199.90,-0.20,NA,NA,NA,NA
IOS_64_05M,230323899,215719049,SAMEA2620786,0,0,0,0,0,0,0,0,,Indian_Ocean_(South),TARA_Oceans,5.49,SRF,0.22-3,2010,7,7,-29.50,37.99,0.05,22.20,35.30,210.00,NA,0.00,0.08,0.00,1.77
IOS_64_65M,205189498,186912485,SAMEA2620828,0,0,0,0,0,0,0,0,,Indian_Ocean_(South),TARA_Oceans,63.64,DCM,0.22-3,2010,7,8,-29.54,37.94,0.26,22.30,35.30,207.40,-0.10,0.00,0.08,0.02,1.75
IOS_65_05M,145100047,119319836,SAMEA2620855,0,0,0,0,0,0,0,0,,Indian_Ocean_(South),TARA_Oceans,5.90,SRF,0.22-3,2010,7,12,-35.19,26.29,0.03,21.80,35.40,207.00,NA,NA,NA,NA,NA
IOS_65_30M,216783228,199804520,SAMEA2620890,0,0,0,0,0,0,0,0,,Indian_Ocean_(South),TARA_Oceans,28.68,DCM,0.22-3,2010,7,12,-35.25,26.31,0.05,21.80,NA,206.40,NA,NA,NA,NA,NA
MED_18_05M,207488154,185051872,SAMEA2619667,0,0,0,0,0,0,0,0,,Mediterranean_Sea,TARA_Oceans,5.43,SRF,0.22-1.6,2009,11,2,35.76,14.26,0.31,21.40,37.90,207.80,NA,0.02,0.03,0.12,0.56
MED_18_60M,204010591,181043056,SAMEA2619678,0,0,0,0,0,0,0,0,,Mediterranean_Sea,TARA_Oceans,61.64,DCM,0.22-1.6,2009,11,2,35.76,14.25,1.02,18.40,37.90,237.90,NA,0.03,0.01,0.02,0.62
MED_23_05M,74783005,65438469,SAMEA2591084,0,0,0,0,0,0,0,0,,Mediterranean_Sea,TARA_Oceans,5.47,SRF,0.22-1.6,2009,11,18,42.21,17.71,0.11,17.60,38.20,220.00,NA,0.01,0.01,0.04,1.38
MED_25_05M,228780211,204497785,SAMEA2619766,0,0,0,0,0,0,0,0,,Mediterranean_Sea,TARA_Oceans,5.52,SRF,0.22-1.6,2009,11,23,39.39,19.39,0.07,18.30,38.20,218.00,NA,0.00,0.01,0.03,1.05
MED_25_50M,193313908,178792412,SAMEA2619782,0,0,0,0,0,0,0,0,,Mediterranean_Sea,TARA_Oceans,51.70,DCM,0.22-1.6,2009,11,23,39.41,19.38,0.54,15.20,38.50,229.50,NA,0.07,0.07,0.15,1.82
MED_30_05M,239392791,222536191,SAMEA2591108,0,0,0,0,0,0,0,0,,Mediterranean_Sea,TARA_Oceans,5.40,SRF,0.22-1.6,2009,12,15,33.92,32.89,0.39,20.50,39.40,207.60,-0.70,0.00,0.00,0.05,0.82
MED_30_70M,157823204,150115341,SAMEA2591122,0,0,0,0,0,0,0,0,,Mediterranean_Sea,TARA_Oceans,69.07,DCM,0.22-1.6,2009,12,15,33.93,32.77,1.10,19.00,39.30,218.10,0.30,0.01,0.00,0.02,0.67
PON_132_05M,166713789,157339296,SAMEA2623059,0,0,0,0,2.305936073,0,0.563549161,0,,Pacific_Ocean_(North),TARA_Oceans,5.45,SRF,0.22-3,2011,10,4,31.52,-159.00,0.15,25.20,35.20,197.70,-1.00,0.00,0.01,0.01,2.43
PON_133_05M,269556882,241270531,SAMEA2623116,0,0,0,0,1.716894977,0,0,0,,Pacific_Ocean_(North),TARA_Oceans,5.46,SRF,0.22-3,2011,10,18,35.41,-127.74,0.04,19.20,33.10,224.40,-0.70,0.00,0.29,0.02,1.91
PON_133_45M,179642130,166437015,SAMEA2623135,0,0,0,0,0.666666667,0,0.57793765,0,,Pacific_Ocean_(North),TARA_Oceans,47.21,DCM,0.22-3,2011,10,19,35.42,-127.69,0.01,13.20,33.20,227.70,4.80,0.08,0.46,1.30,2.84
PON_137_05M,185571189,172429037,SAMEA2623275,0,0,0,0,0.226027397,0,0,0,,Pacific_Ocean_(North),TARA_Oceans,5.37,SRF,0.22-3,2011,12,2,14.20,-116.63,0.04,26.40,33.90,195.10,3.20,0.07,0.46,2.44,2.54
PON_137_40M,192535521,183983234,SAMEA2623295,0,0,1.43020595,0,0,0,0,0,,Pacific_Ocean_(North),TARA_Oceans,44.17,DCM,0.22-3,2011,12,2,14.17,-116.71,0.29,18.60,34.40,95.40,11.00,0.31,0.88,6.05,4.66
